Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Destination Country	Permit #	Inclusive	Invoice #	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Non-GST Amount	GST Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Sale Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Expiry Date	Authorisation Code	Account Number	Account Name	Cheque Number	Category	Location ID	Card ID	Record ID
SUMBER SARI, TABANAN		SUMBER SARI, TABANAN	JL YEH PANES, PENATAHAN PENEBEL	TABANAN				X	00003517	27/04/2026	2553		A	ATAP 109GBT	20	GO GREEN HIJAU 180 X 80	Rp45.945,946	Rp51.000,00	0%	Rp918.918,92	Rp1.020.000,00			Sale; SUMBER SARI, TABANAN	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp101.081,08			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4474
SUMBER SARI, TABANAN		SUMBER SARI, TABANAN	JL YEH PANES, PENATAHAN PENEBEL	TABANAN				X	00003517	27/04/2026	2553		A	ATAP 108GBT	20	GO GREEN MERAH 180 X 80	Rp45.945,946	Rp51.000,00	0%	Rp918.918,92	Rp1.020.000,00			Sale; SUMBER SARI, TABANAN	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp101.081,08			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4474
SUMBER SARI, TABANAN		SUMBER SARI, TABANAN	JL YEH PANES, PENATAHAN PENEBEL	TABANAN				X	00003517	27/04/2026	2553		A	BOARD 028G	50	KALSILING 3,5 MM (120 X 240)	Rp56.756,7568	Rp63.000,00	0%	Rp2.837.837,84	Rp3.150.000,00			Sale; SUMBER SARI, TABANAN	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp312.162,16			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4474

SARI MULYA. UD		SARI MULYA. UD	JL CIUNG WANARA, BLAHKIUH	BADUNG				X	00003633	29/04/2026	2891		A	ATAP 109GBT	200	GO GREEN HIJAU 180 X 80	Rp45.045,0451	Rp50.000,00	0%	Rp9.009.009,01	Rp10.000.000,00			Sale; SARI MULYA. UD	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp990.990,99			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4298

RHAMBON SANTOSA		RHAMBON SANTOSA	JL. RAYA PANGLAN, KAPAL - MENGWI, BADUNG	DENPASAR				X	00003636	30/04/2026	2569		A	ATAP 109GBT	50	GO GREEN HIJAU 180 X 80	Rp45.945,946	Rp51.000,00	0%	Rp2.297.297,30	Rp2.550.000,00			Sale; RHAMBON SANTOSA	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp252.702,70			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp1.300.000,00											002	*None	4208

DWI CANDRA JAYA. UD		DWI CANDRA JAYA. UD	JL. SATELIT 32 C	DENPASAR				X	00003668	30/04/2026	012		A	BOARD 030G	50	KALSILING 3,5 MM (122 X 244)	Rp58.918,919	Rp65.400,00	0%	Rp2.945.945,95	Rp3.270.000,00			Sale; DWI CANDRA JAYA. UD	ACHMAD AFANDY				PPN	Rp0,00	Rp324.054,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp3.500.000,00											002	*None	4872
DWI CANDRA JAYA. UD		DWI CANDRA JAYA. UD	JL. SATELIT 32 C	DENPASAR				X	00003668	30/04/2026	012		A	RGK 001 GBT	100	HOLLOW S 2 X 4 0,35	Rp18.738,7387	Rp20.800,00	0%	Rp1.873.873,87	Rp2.080.000,00			Sale; DWI CANDRA JAYA. UD	ACHMAD AFANDY				PPN	Rp0,00	Rp206.126,13			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp3.500.000,00											002	*None	4872
DWI CANDRA JAYA. UD		DWI CANDRA JAYA. UD	JL. SATELIT 32 C	DENPASAR				X	00003668	30/04/2026	012		A	RGK 002 GBT	100	HOLLOW S 4 X 4 0,35	Rp23.423,4234	Rp26.000,00	0%	Rp2.342.342,34	Rp2.600.000,00			Sale; DWI CANDRA JAYA. UD	ACHMAD AFANDY				PPN	Rp0,00	Rp257.657,66			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp3.500.000,00											002	*None	4872

WIJAYA TOKO		KE TOKO TIMUR						X	00003764	05/05/2026	2468		A	BOARD 028G	100	KALSILING 3,5 MM (120 X 240)	Rp56.756,7568	Rp63.000,00	0%	Rp5.675.675,68	Rp6.300.000,00			Sale; WIJAYA TOKO	I KOMANG SUASTANA				PPN	Rp0,00	Rp624.324,32			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4651

MERTA DANA. UD, GIANYAR		MERTA DANA. UD, GIANYAR	JL RAYA GUWANG, BR BULUH GUWANG, SUKAWATI					X	00003765	05/05/2026	2487		A	ATAP 075 GBT	50	TRIMDEK SILVER BD 0,25X4 MTR	Rp87.567,5676	Rp97.200,00	0%	Rp4.378.378,38	Rp4.860.000,00			Sale; MERTA DANA. UD, GIANYAR	I KOMANG SUASTANA				PPN	Rp0,00	Rp481.621,62			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp3.000.000,00											002	*None	3902
MERTA DANA. UD, GIANYAR		MERTA DANA. UD, GIANYAR	JL RAYA GUWANG, BR BULUH GUWANG, SUKAWATI					X	00003765	05/05/2026	2487		A	RGK 0011	100	HOLLOW MBT 0.30 2X4 PJ 4MTR	Rp10.540,5405	Rp11.700,00	0%	Rp1.054.054,05	Rp1.170.000,00			Sale; MERTA DANA. UD, GIANYAR	I KOMANG SUASTANA				PPN	Rp0,00	Rp115.945,95			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp3.000.000,00											002	*None	3902

SEMANGAT SUKSES MANDIRI. CV		SEMANGAT SUKSES MANDIRI. CV	JL GATOT SUBROTO 242 C TONJA DENPASAR					X	00003768	05/05/2026	0063		A	BOARD 030G	50	KALSILING 3,5 MM (122 X 244)	Rp61.711,7118	Rp68.500,00	0%	Rp3.085.585,59	Rp3.425.000,00			Sale; SEMANGAT SUKSES MANDIRI. CV	WAYAN SUARTAMA				PPN	Rp0,00	Rp339.414,41			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3366

SUWARNADI. UD		SUWARNADI. UD	BR.TARUKAN, PEJENG, GIANYAR					X	00003786	06/05/2026	2484		A	PLP 199G	1	DAMDEX MLT FGS 5 LTR @ 6 GLN	Rp1.424.864,86	Rp1.581.600,00	0%	Rp1.424.864,86	Rp1.581.600,00			Sale; SUWARNADI. UD	I KOMANG SUASTANA				PPN	Rp0,00	Rp156.735,14			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	5418

SARI DANA, SEDANG		SARI DANA, SEDANG	JL.RAYA SEDANG					X	00003853	07/05/2026	2896		A	ATAP 077 GBT	20	TRIMDEK SILVER BD 0,25X6 MTR	Rp131.351,3515	Rp145.800,00	0%	Rp2.627.027,03	Rp2.916.000,00			Sale; SARI DANA, SEDANG	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp288.972,97			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp6.500.000,00											002	*None	4273
SARI DANA, SEDANG		SARI DANA, SEDANG	JL.RAYA SEDANG					X	00003853	07/05/2026	2896		A	ATAP 310 G	30	TRIMDEK RESIN BLUE BD 0,25X6M	Rp136.756,7567	Rp151.800,00	0%	Rp4.102.702,70	Rp4.554.000,00			Sale; SARI DANA, SEDANG	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp451.297,30			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp6.500.000,00											002	*None	4273
SARI DANA, SEDANG		SARI DANA, SEDANG	JL.RAYA SEDANG					X	00003853	07/05/2026	2896		A	RGK 0011	100	HOLLOW MBT 0.30 2X4 PJ 4MTR	Rp10.630,6306	Rp11.800,00	0%	Rp1.063.063,06	Rp1.180.000,00			Sale; SARI DANA, SEDANG	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp116.936,94			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp6.500.000,00											002	*None	4273

SUMBER ADA		SUMBER ADA	JL RAYA PURA PUNCAK MANGU					X	00003855	07/05/2026	2902		A	BOARD 030G	50	KALSILING 3,5 MM (122 X 244)	Rp58.918,919	Rp65.400,00	0%	Rp2.945.945,95	Rp3.270.000,00			Sale; SUMBER ADA	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp324.054,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	5385

BANDAR BANGUNAN ( PARMADI I MADE )		BANDAR BANGUNAN ( PARMADI I MADE )	JL BELIMBING GANG H  NO 1 DANGIN PURI KAJA	DENPASAR UTARA				X	00003863	08/05/2026	0070		A	BOARD 106G	40	KALSIPLANK JT 8 MM (20 X 300)	Rp31.081,081	Rp34.500,00	0%	Rp1.243.243,24	Rp1.380.000,00			Sale; BANDAR BANGUNAN ( PARMADI I MADE )	WAYAN SUARTAMA				PPN	Rp0,00	Rp136.756,76			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	2742
BANDAR BANGUNAN ( PARMADI I MADE )		BANDAR BANGUNAN ( PARMADI I MADE )	JL BELIMBING GANG H  NO 1 DANGIN PURI KAJA	DENPASAR UTARA				X	00003863	08/05/2026	0070		A	BOARD 105G	20	KALSIPLANK 8 MM (20 X 300)	Rp30.180,1805	Rp33.500,00	0%	Rp603.603,61	Rp670.000,00			Sale; BANDAR BANGUNAN ( PARMADI I MADE )	WAYAN SUARTAMA				PPN	Rp0,00	Rp66.396,39			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	2742
BANDAR BANGUNAN ( PARMADI I MADE )		BANDAR BANGUNAN ( PARMADI I MADE )	JL BELIMBING GANG H  NO 1 DANGIN PURI KAJA	DENPASAR UTARA				X	00003863	08/05/2026	0070		A	BRD 242GBT	30	GYPS E-BOARD 9 MM (120 X 240)	Rp45.045,045	Rp50.000,00	0%	Rp1.351.351,35	Rp1.500.000,00			Sale; BANDAR BANGUNAN ( PARMADI I MADE )	WAYAN SUARTAMA				PPN	Rp0,00	Rp148.648,65			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	2742

PELANGI NUSANTARA. CV		CASH BACK						X	00003864	08/05/2026	2900		A	PLP 197GBT	8	DAMDEX MLT FGS 1 LTR @ 24 JRG	Rp1.149.243,2438	Rp1.275.660,00	0%	Rp9.193.945,95	Rp10.205.280,00			Sale; PELANGI NUSANTARA. CV	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp1.011.334,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3364
